rainfall_mm,temperature_c,soil_ph,soil_moisture_pct,fertilizer_kg_per_hectare,irrigation_level_pct,yield_tons_per_hectare
684.8,17.6,6.86,37.5,185.8,47.0,5.53
1064.3,27.9,6.67,48.0,230.8,21.4,5.16
885.9,33.6,6.87,60.6,180.6,40.6,5.05
359.2,27.1,6.85,50.9,0.3,45.9,4.89
881.0,31.6,5.08,43.2,217.5,60.3,6.17
703.7,29.8,7.01,58.9,11.8,35.1,5.43
630.8,29.7,5.96,30.6,3.3,73.1,5.0
952.9,26.6,5.62,41.6,4.6,85.0,5.79
1057.7,21.9,5.62,42.0,34.3,29.7,5.85
1032.8,22.4,6.85,26.4,77.6,86.5,5.91
590.2,31.5,6.32,38.7,41.2,62.4,5.76
722.7,28.1,5.15,13.9,2.1,35.5,4.73
882.8,27.3,6.88,73.7,51.8,25.2,5.34
1043.9,25.9,5.35,30.9,46.7,79.3,5.75
680.2,26.5,6.61,68.8,113.1,17.6,5.29
753.6,33.2,6.69,45.6,26.2,54.9,5.23
523.4,26.3,7.21,53.5,19.6,51.6,5.31
500.9,21.3,7.93,37.7,23.7,46.3,5.17
1003.1,31.7,5.41,48.1,29.0,71.6,5.2
1139.1,27.0,6.46,54.8,73.1,34.4,5.23
782.0,28.2,6.28,55.0,51.0,43.3,5.73
1050.9,36.0,6.85,56.6,32.9,58.1,4.86
890.4,27.9,6.67,39.5,37.5,55.9,5.48
638.7,29.4,6.22,37.8,37.1,80.0,5.53
890.3,22.1,6.15,21.1,287.2,30.5,5.57
1184.5,26.9,5.61,52.8,21.2,62.3,5.21
791.0,31.0,7.29,61.2,136.3,53.0,5.81
1191.2,20.2,6.87,69.2,98.5,57.1,5.01
145.1,29.0,7.23,49.6,0.4,50.2,3.45
1005.5,28.5,6.25,33.5,350.0,70.9,6.12
821.8,28.2,5.97,19.5,113.0,50.4,5.55
725.2,33.2,5.64,60.6,91.8,67.8,5.75
822.9,29.7,6.79,18.1,41.6,61.4,5.83
303.1,35.4,5.67,39.9,64.8,42.0,4.3
745.1,23.0,7.98,41.6,23.4,87.4,5.08
889.3,28.7,5.45,44.0,2.9,58.8,5.28
1169.5,28.4,6.72,45.5,144.6,30.6,4.95
670.4,22.7,7.75,47.1,181.4,55.0,5.41
597.9,32.8,6.98,8.8,14.2,29.4,5.13
674.6,39.6,6.64,45.2,123.7,68.1,5.14
1028.9,27.9,5.73,11.6,108.1,78.6,4.62
882.2,30.5,5.39,56.0,15.7,29.5,5.31
667.6,28.4,7.12,36.7,43.8,10.0,5.22
928.3,24.4,7.7,12.6,44.0,13.5,5.46
824.3,18.9,6.15,32.8,114.2,84.9,5.58
1042.2,24.5,5.59,36.4,145.4,51.2,5.67
624.5,21.0,4.53,62.9,8.0,62.0,5.19
718.1,36.5,5.72,47.9,66.2,40.9,4.91
702.0,27.4,6.41,50.2,114.8,36.3,5.48
434.1,26.3,7.78,62.7,123.4,14.3,5.64
874.0,32.4,7.04,43.6,12.8,80.0,5.54
865.3,22.4,6.74,56.3,59.6,22.6,5.65
801.3,24.2,6.18,55.3,155.9,54.8,6.31
741.4,28.3,6.03,25.7,30.7,87.5,6.14
446.2,33.1,7.62,67.1,44.3,40.0,5.17
694.8,30.5,6.66,23.7,130.5,26.7,5.13
714.3,29.2,4.82,58.8,7.5,73.6,5.34
599.4,28.4,5.96,22.2,157.0,35.8,5.43
759.7,30.0,5.81,54.0,29.8,26.5,6.03
901.0,29.0,6.06,72.9,0.1,24.4,5.47
1271.5,22.9,6.95,41.8,21.3,30.2,4.15
843.6,28.2,6.41,41.2,7.5,13.6,4.86
864.4,22.6,6.44,54.2,7.8,7.2,5.9
781.4,28.4,7.55,40.1,94.4,11.5,5.59
320.3,25.6,5.94,72.3,19.3,48.1,4.47
793.4,40.7,7.99,47.9,218.4,7.5,4.61
815.1,27.8,5.96,40.2,58.1,7.2,5.32
1415.8,21.0,6.57,36.9,49.3,43.3,3.93
751.9,27.3,6.28,31.0,45.6,67.7,5.93
875.4,30.6,6.6,35.6,94.4,43.2,5.64
791.3,36.4,6.86,39.7,48.2,44.3,5.49
507.8,25.1,6.85,37.7,11.0,27.1,5.32
1085.7,20.1,5.9,35.1,169.7,48.9,5.7
988.0,32.1,5.6,76.5,44.7,54.4,5.25
997.8,21.1,8.5,29.5,6.2,64.6,4.96
572.7,25.8,6.11,47.2,60.3,47.0,5.17
1150.7,26.7,7.06,53.9,83.4,58.5,5.56
449.5,27.7,5.21,54.5,25.8,4.3,4.89
946.7,31.4,6.28,44.1,128.9,10.1,5.44
1347.6,24.6,6.4,41.4,88.6,57.4,4.16
552.4,26.6,6.88,51.8,84.1,40.0,5.89
658.4,27.9,4.32,49.0,43.7,64.3,5.29
824.9,28.7,6.63,41.1,261.4,22.6,6.42
674.1,28.5,5.58,21.6,25.6,53.9,4.72
412.3,30.2,6.76,38.0,69.0,82.0,5.17
817.1,32.2,5.67,27.8,29.6,48.1,4.92
534.4,30.0,5.82,35.0,109.3,61.5,5.21
918.4,30.3,6.28,45.5,3.9,50.7,5.31
570.1,20.1,5.66,50.4,3.8,23.5,5.29
1187.5,28.3,6.12,71.7,133.2,43.2,5.17
604.2,30.4,5.55,36.9,45.6,14.4,5.07
719.5,31.6,5.03,56.6,33.4,90.2,5.24
1003.4,24.5,7.31,49.6,74.8,64.7,5.11
492.3,24.7,5.46,64.4,96.8,58.4,5.16
856.9,25.1,6.36,53.6,18.0,51.3,5.39
1126.8,30.7,7.1,29.9,16.4,90.4,5.39
398.1,33.2,6.01,19.2,253.9,5.8,4.58
846.2,26.0,5.84,49.7,71.3,18.5,5.55
865.0,32.5,6.68,37.1,39.6,75.0,5.57
995.5,28.6,7.39,30.3,129.3,65.7,6.02
490.8,27.4,5.56,26.0,59.6,44.8,5.54
469.9,26.9,6.38,47.4,22.1,85.9,5.97
930.5,31.7,5.11,67.6,18.5,60.0,4.79
874.2,29.6,6.19,38.9,40.4,93.4,5.76
862.6,39.4,6.53,53.9,157.2,78.1,5.15
886.6,23.7,5.82,43.5,5.1,57.5,4.97
630.0,30.6,6.13,25.7,19.7,38.8,4.88
858.1,25.4,5.37,56.0,178.9,72.2,6.19
873.3,23.7,6.56,28.6,10.4,38.3,5.61
621.4,27.9,7.34,45.3,79.5,34.4,5.7
1266.4,28.7,5.62,39.9,19.2,45.3,4.65
918.5,42.6,6.0,58.4,74.5,77.4,4.06
502.2,27.1,6.9,29.1,38.6,60.4,4.91
964.1,22.3,7.47,50.9,8.6,65.5,5.26
556.3,29.4,5.31,32.4,69.9,63.7,5.59
996.8,17.6,6.36,37.3,91.9,76.6,5.55
1089.6,27.5,6.73,5.0,91.2,44.3,5.33
594.8,28.1,6.42,76.4,81.1,64.3,6.1
1040.8,32.0,4.52,53.3,55.5,54.6,4.55
903.2,32.9,6.9,33.5,58.6,70.2,5.44
1005.5,25.5,7.72,28.1,80.8,45.9,5.39
1274.2,27.2,6.59,37.6,93.8,39.0,4.51
738.7,24.2,5.68,55.8,85.1,15.3,5.79
611.6,22.4,6.09,16.6,70.7,36.2,6.22
577.6,29.5,7.92,42.9,13.6,33.0,4.81
596.0,21.6,7.23,71.6,18.9,55.5,5.48
780.7,25.9,7.01,28.0,24.1,13.2,5.12
885.3,23.0,6.79,46.2,201.7,14.6,5.28
869.2,30.7,5.97,78.0,114.0,31.4,5.33
1006.8,37.0,6.34,54.5,64.4,86.7,5.2
803.3,21.5,6.44,46.9,23.2,36.1,5.68
1163.4,18.7,6.94,52.6,9.4,49.2,5.36
733.8,27.4,7.71,39.0,183.2,40.4,5.85
1480.0,28.1,7.39,64.5,178.5,64.5,3.8
956.4,29.1,5.36,39.0,9.4,79.4,5.64
585.7,25.8,6.68,15.6,127.6,28.6,5.5
532.3,27.0,7.09,39.1,47.3,27.0,5.28
920.6,29.8,7.0,30.5,31.3,68.7,5.44
744.1,33.2,6.0,40.8,107.5,26.3,5.68
978.5,18.2,8.83,41.1,76.2,35.9,5.18
918.3,26.2,5.48,63.0,121.1,44.9,5.63
781.8,29.1,5.63,55.4,6.2,69.9,5.94
588.3,23.4,6.69,48.9,30.7,77.8,5.8
421.3,36.7,8.19,45.0,30.8,46.3,4.55
688.4,24.8,5.83,29.1,32.0,36.3,5.2
1014.1,27.8,6.29,12.3,55.8,41.1,5.09
853.5,30.8,7.36,46.7,26.6,48.6,5.91
488.6,25.0,6.49,56.9,47.0,0.9,5.46
843.3,18.8,6.23,43.4,36.7,8.5,4.98
896.3,25.9,6.95,37.0,106.3,73.4,5.96
579.0,33.1,6.72,52.0,74.0,81.2,5.7
838.4,26.3,7.32,43.8,84.8,52.4,5.46
814.6,23.8,7.53,70.3,18.9,26.3,5.71
514.3,32.6,6.75,63.5,31.5,37.6,5.03
889.4,26.3,6.73,59.4,1.7,61.9,5.98
940.2,25.4,6.67,56.4,9.2,80.6,5.55
1070.8,28.7,6.89,25.6,24.6,19.0,4.63
1063.5,31.9,6.54,54.9,5.4,58.5,5.26
455.6,39.9,6.5,50.6,73.8,50.0,4.05
565.5,32.1,7.46,54.1,350.0,36.1,5.3
928.8,33.8,7.71,52.4,8.5,26.6,4.48
928.4,25.5,5.29,51.8,137.7,23.3,5.42
928.8,22.9,6.51,85.5,10.1,79.7,5.77
1763.2,28.3,5.95,43.9,88.7,64.8,1.68
942.7,28.5,6.25,59.0,82.4,60.5,5.63
1083.9,22.6,6.82,37.9,186.4,51.3,5.29
1038.5,27.1,7.04,56.9,9.7,55.8,5.37
962.8,30.0,6.41,59.1,30.3,21.9,5.3
721.2,29.8,4.97,50.5,7.6,78.8,6.09
989.7,30.5,5.73,70.0,41.9,54.5,5.34
606.8,29.5,7.22,31.7,194.1,67.0,5.82
740.8,25.5,4.31,37.7,121.7,80.0,5.4
678.7,25.4,7.45,48.2,102.7,36.0,5.69
820.5,22.0,6.92,58.2,60.9,49.1,5.85
1378.7,36.9,7.55,47.7,172.0,29.2,3.46
333.2,28.1,6.34,64.3,47.7,55.4,4.88
971.6,26.9,4.85,35.1,13.0,43.8,5.24
396.8,23.4,6.84,27.9,145.4,33.3,4.36
682.0,42.7,7.52,49.6,26.2,30.6,4.46
1072.2,22.6,7.24,43.8,4.4,34.3,5.27
816.1,25.9,5.97,53.1,10.8,66.2,5.69
530.6,30.1,6.57,44.6,75.1,23.9,5.11
621.2,31.0,6.07,39.9,74.7,76.5,6.31
969.9,32.8,5.84,43.9,24.1,19.0,4.98
617.4,37.0,7.26,45.4,103.9,7.5,4.07
854.1,30.5,5.54,40.4,118.9,47.0,5.82
811.4,22.7,5.78,42.0,202.6,66.5,5.92
637.1,26.7,5.62,38.9,70.3,18.2,5.06
1336.0,29.5,5.31,57.8,120.9,79.3,4.42
958.5,38.3,6.62,47.9,111.9,35.3,5.0
293.7,21.0,7.43,78.9,23.9,11.6,3.88
846.6,34.0,6.35,47.4,29.7,70.9,5.44
634.6,28.9,5.3,36.7,52.1,17.3,5.44
1013.1,32.2,7.17,85.1,1.5,56.5,4.9
601.9,27.5,7.85,51.2,28.2,23.7,4.98
771.3,23.8,5.98,59.9,51.4,84.3,5.95
926.2,31.8,6.12,53.9,9.1,59.9,4.87
1016.4,31.3,6.91,54.3,10.8,18.5,5.24
499.9,32.9,7.8,53.0,49.8,43.6,5.04
716.4,27.9,6.08,28.5,105.0,73.3,5.72
681.3,25.0,5.43,50.5,143.5,35.0,5.58
636.7,20.2,7.01,25.1,63.2,42.1,5.05
1241.4,32.1,7.14,42.4,51.5,91.9,4.6
901.2,30.1,6.5,34.1,38.8,30.8,5.21
484.8,23.2,6.05,50.4,17.1,37.6,4.81
1029.5,25.3,7.3,50.0,12.7,36.7,4.92
1330.5,25.7,6.92,52.2,125.6,80.8,5.11
1058.1,20.6,5.89,49.3,50.0,29.0,5.51
420.2,23.9,6.54,35.9,125.0,40.9,5.92
678.9,22.3,5.42,41.1,97.4,69.2,5.79
1116.7,25.9,7.05,58.8,17.2,38.0,5.32
623.1,24.3,6.29,61.0,57.1,84.6,5.68
911.0,19.9,6.15,27.8,47.0,31.5,5.88
993.7,38.1,6.47,22.0,44.1,41.2,4.69
568.3,34.3,6.53,34.1,62.6,69.4,5.5
785.1,24.1,7.22,60.7,321.8,77.1,6.1
100.0,29.4,6.97,63.2,134.1,62.8,4.18
543.9,30.1,6.37,31.1,187.2,47.2,5.36
736.9,34.0,7.11,49.6,2.4,49.3,5.54
488.1,23.9,6.82,72.5,12.1,68.5,5.09
1208.1,33.5,6.16,51.2,7.1,79.5,4.38
442.5,25.3,6.4,66.3,24.4,47.7,5.01
690.0,21.3,6.38,60.0,46.7,11.8,4.82
832.7,31.6,6.9,31.3,82.2,21.7,5.77
1160.3,34.5,6.21,42.2,55.6,69.2,5.06
441.0,40.9,6.19,45.5,186.8,56.5,4.95
1090.8,22.0,8.08,46.6,224.9,37.4,5.07
802.6,31.5,7.25,58.7,14.3,32.7,5.12
554.6,26.0,5.89,51.1,153.3,84.1,5.36
915.5,31.9,6.96,5.0,52.6,73.1,5.3
849.8,20.6,6.59,25.3,48.3,60.7,5.45
649.9,21.7,6.81,12.2,122.9,70.9,5.31
817.5,24.1,6.61,47.6,7.8,60.7,5.73
703.7,28.4,7.45,48.6,171.3,41.3,6.11
828.4,24.8,6.78,49.2,88.9,61.2,5.9
965.5,31.3,6.45,30.6,166.5,53.0,5.47
1196.5,33.1,7.33,55.1,350.0,81.7,5.45
490.5,31.0,6.69,55.7,58.4,70.5,5.17
1333.3,36.1,6.6,26.2,7.8,69.0,3.69
312.0,30.1,6.75,23.0,14.6,49.3,4.46
762.1,21.9,6.43,45.0,31.3,59.8,5.46
947.1,34.8,6.51,71.9,8.7,68.1,5.38
870.2,25.0,6.03,70.5,135.1,68.8,5.59
644.3,32.6,5.9,53.5,28.2,74.7,5.2
748.0,35.9,5.7,34.1,298.0,67.8,5.15
676.7,30.3,5.39,58.3,97.0,50.6,5.84
652.7,20.5,5.8,38.2,15.2,49.8,5.79
1012.4,23.4,6.36,33.5,51.7,60.2,5.47
889.3,34.6,6.58,12.8,50.3,64.3,5.27
626.8,27.2,6.28,46.5,54.3,31.7,5.66
1024.9,28.4,4.62,35.6,61.4,51.7,5.3
876.8,31.8,7.76,46.4,2.5,15.6,4.78
1003.2,31.5,7.37,10.5,92.7,62.3,5.0
957.4,29.4,6.86,47.5,53.4,42.1,5.76
592.8,27.0,8.03,8.5,125.2,30.7,5.52
660.0,26.4,5.72,61.3,135.1,45.8,6.03
986.8,32.3,8.01,52.8,21.0,17.8,5.01
952.6,30.8,5.73,40.8,4.0,21.5,5.43
794.8,26.7,6.69,53.4,97.2,37.3,5.34
829.3,33.4,5.48,30.3,304.5,28.1,4.92
1119.4,27.4,6.51,46.1,47.3,60.3,4.87
652.1,23.7,6.81,56.9,24.0,12.4,6.27
936.8,24.2,6.38,5.0,13.6,47.4,5.78
749.5,23.1,7.07,38.3,27.1,20.0,5.02
745.6,26.6,6.58,44.7,31.8,84.1,5.69
1074.7,34.2,6.08,42.1,44.1,31.0,4.84
1006.4,24.0,6.05,66.9,85.2,45.4,5.95
1003.4,28.9,7.15,28.1,25.5,76.1,5.57
1126.4,24.7,5.98,35.7,4.2,16.5,4.82
805.3,26.7,7.23,16.3,37.4,67.9,5.67
970.5,20.4,7.48,67.7,154.8,84.6,5.94
722.4,26.9,5.17,41.3,55.2,46.5,5.0
881.0,27.0,7.41,38.4,267.7,27.0,5.97
767.5,30.7,8.15,44.2,56.0,22.5,5.33
824.2,29.1,6.7,54.5,25.8,67.0,5.29
948.8,22.0,6.98,50.2,17.2,45.0,5.28
595.4,33.4,7.33,84.7,94.9,6.2,5.07
1323.1,29.1,6.28,51.8,61.5,56.7,4.54
548.5,29.0,6.65,38.0,74.1,54.5,5.39
496.5,28.0,5.45,36.6,112.6,35.2,5.19
1089.5,25.4,6.61,39.1,103.5,69.5,5.55
997.9,29.1,6.9,22.5,3.5,4.1,4.56
956.0,30.4,6.91,45.6,129.8,67.9,6.24
957.1,19.3,7.35,56.8,60.9,74.9,5.44
796.9,25.3,5.88,35.8,39.8,80.2,5.89
575.7,26.7,6.07,32.9,61.7,75.7,6.04
819.0,29.3,8.02,67.7,75.8,46.4,5.84
630.7,34.0,6.38,23.6,13.0,54.6,5.14
1043.8,24.1,6.66,14.0,43.2,30.1,5.13
763.2,25.5,6.45,27.7,32.7,37.3,5.55
593.6,25.4,5.84,21.9,34.5,45.1,4.83
719.7,24.0,7.8,50.8,7.7,60.8,5.09
903.2,26.3,6.08,39.6,13.9,8.8,5.48
659.1,31.9,5.6,41.7,14.1,50.6,5.15
594.4,22.7,6.14,62.3,37.4,61.7,5.04
860.9,30.1,4.9,34.6,179.9,82.7,5.8
861.2,19.5,5.98,56.6,18.5,63.7,5.74
673.3,25.2,5.73,67.7,43.1,20.6,5.81
682.2,26.4,6.99,38.2,29.9,59.5,5.75
858.0,36.4,5.96,56.1,123.9,65.5,5.2
438.0,26.6,7.21,41.4,4.1,54.3,5.14
448.1,17.0,7.62,58.9,17.5,49.4,4.79
620.4,18.0,7.12,21.4,18.9,63.9,4.88
746.6,28.2,6.33,20.3,350.0,63.1,5.57
877.7,31.1,6.61,39.1,67.7,96.6,5.99
1168.8,29.9,5.28,31.7,12.0,84.2,4.92
1014.4,28.8,6.39,37.2,25.4,61.4,5.48
760.0,33.8,5.81,41.7,14.7,49.2,5.27
795.2,25.3,7.06,55.8,10.6,16.3,5.65
549.4,32.5,8.56,38.9,127.6,57.2,4.93
795.4,19.8,6.9,32.6,54.8,42.4,5.53
727.8,23.5,4.91,39.7,79.8,74.0,5.88
880.7,19.0,6.21,33.5,32.2,29.7,5.41
593.2,26.6,6.6,31.0,64.5,61.5,5.33
929.8,27.8,6.57,20.8,23.8,82.4,5.29
1183.2,28.6,5.92,46.0,29.5,62.6,4.99
772.8,28.3,6.7,36.5,84.5,67.5,5.03
900.4,23.4,5.51,59.5,13.0,71.4,6.05
972.5,27.0,5.74,23.3,76.8,92.1,5.57
699.7,20.5,7.02,36.9,153.0,47.2,5.9
856.0,34.8,5.69,72.2,10.3,20.5,5.16
803.1,26.5,6.93,30.9,182.2,18.7,5.86
824.4,25.6,5.4,41.5,6.6,17.1,4.97
606.7,35.9,7.91,26.8,34.3,36.2,4.44
806.1,21.8,5.88,24.8,75.4,65.1,5.23
924.5,22.4,6.32,68.2,65.6,50.3,5.96
1162.8,22.5,6.76,47.6,8.1,53.3,4.51
1039.8,27.7,6.05,47.0,128.3,45.2,5.39
1338.3,30.2,6.61,19.6,289.4,92.4,4.96
608.2,31.7,6.96,50.4,16.0,60.2,4.95
1018.1,40.9,7.27,62.4,180.4,77.7,4.8
845.8,16.8,7.13,62.2,65.1,52.0,5.68
1347.5,31.0,6.36,55.0,219.8,60.4,4.51
597.9,25.2,6.38,28.1,15.5,50.7,5.4
590.1,25.1,8.38,49.7,125.6,14.6,5.5
650.2,24.9,7.26,55.0,4.9,48.8,5.96
269.0,23.5,5.76,18.1,171.8,42.1,4.15
668.6,36.4,6.58,28.2,89.7,46.8,5.02
610.2,32.2,6.23,58.3,37.0,38.1,5.47
837.6,28.1,6.39,58.1,16.9,22.8,5.43
885.4,34.8,5.52,21.8,135.7,28.3,5.06
1269.0,20.4,6.17,56.9,74.0,20.4,4.94
1037.6,21.3,7.95,46.4,35.8,40.7,4.54
655.8,17.1,6.96,56.7,46.9,2.2,5.57
575.4,24.5,4.51,35.5,140.1,36.3,5.8
923.0,28.8,7.47,54.7,33.1,66.5,5.48
469.9,28.5,7.37,57.7,7.5,57.5,4.61
1257.9,28.7,6.21,39.7,193.8,51.9,5.01
1094.9,20.9,7.07,45.3,39.2,44.0,5.35
682.7,32.0,5.81,35.3,34.3,64.3,4.91
371.7,29.2,6.12,69.8,18.3,82.4,4.78
1138.5,31.7,7.7,43.2,182.2,11.6,5.63
771.4,18.5,6.28,31.2,19.6,40.7,5.75
1109.5,29.6,5.0,34.3,81.0,57.1,5.28
401.4,22.1,6.45,46.9,170.1,39.5,5.3
650.2,26.0,6.44,56.3,2.8,20.9,5.38
801.3,30.7,7.46,25.0,141.2,44.7,5.65
811.7,28.5,6.51,72.7,42.3,63.5,5.59
687.5,23.7,6.16,49.6,85.8,92.9,5.96
955.7,28.0,7.34,52.0,37.3,75.9,5.09
533.1,20.3,6.6,43.5,95.1,58.5,4.82
764.4,33.8,5.9,45.3,23.5,51.7,5.09
830.1,27.0,7.42,42.8,1.8,77.2,5.86
928.6,33.6,6.65,60.3,236.2,59.0,5.82
977.9,25.4,6.5,44.9,1.3,60.9,5.7
518.8,25.4,6.64,56.5,139.0,29.8,5.53
416.5,24.2,5.64,38.5,14.8,28.7,5.18
1119.4,32.4,6.08,47.9,39.8,50.3,5.42
883.1,24.5,6.5,32.9,138.3,13.4,6.09
612.9,31.2,6.34,63.2,18.4,30.9,5.03
1187.8,26.1,7.52,32.5,160.6,61.3,5.19
828.9,18.1,6.67,40.1,55.1,54.0,5.42
1094.8,25.1,7.18,40.3,36.5,45.1,5.69
816.9,22.1,6.51,39.7,86.9,4.0,5.99
1315.2,28.2,7.35,55.8,33.4,44.7,4.52
1238.8,22.0,6.82,40.3,34.1,84.4,5.08
737.8,32.6,6.51,65.9,105.8,70.8,5.73
1042.9,27.5,6.49,32.7,29.7,18.3,4.96
961.3,27.1,5.74,47.5,17.9,91.4,5.9
1142.2,31.3,6.91,33.4,131.9,37.3,5.74
558.8,32.8,6.47,51.3,130.9,63.0,5.6
971.5,27.9,6.1,44.8,55.1,49.5,5.54
1064.6,24.1,7.39,42.7,59.8,46.3,5.16
360.3,19.1,5.5,62.8,95.3,19.5,4.58
504.2,24.6,6.16,35.2,56.9,18.1,4.85
290.2,24.9,7.32,53.8,43.2,27.8,4.16
732.6,28.5,6.75,33.5,350.0,29.1,5.8
979.4,26.3,6.46,46.7,12.8,37.0,5.51
1175.6,31.4,6.7,27.1,71.9,50.4,4.47
818.5,24.9,6.64,35.1,173.6,77.4,6.06
1207.2,27.7,5.29,43.8,93.0,85.9,5.54
455.0,33.9,6.22,72.2,170.2,59.5,5.17
374.2,29.7,7.79,46.5,32.8,83.0,4.91
786.1,27.7,5.97,69.8,25.4,83.6,5.76
896.0,25.0,6.25,48.3,152.5,33.8,5.37
791.8,24.8,6.07,39.2,40.1,23.8,5.15
283.1,23.7,6.43,68.1,98.9,63.8,4.82
777.7,25.3,6.03,51.6,12.8,35.5,5.76
473.9,31.8,6.89,35.4,112.8,81.2,5.58
967.4,26.9,6.66,52.1,63.7,49.3,6.05
891.6,21.3,7.12,40.6,25.0,65.8,5.41
565.0,36.8,5.66,15.2,54.6,82.7,5.07
671.5,29.6,6.23,59.0,95.5,50.9,5.97
535.2,21.0,6.32,61.4,1.0,32.8,5.56
784.3,25.8,6.86,72.6,81.2,61.6,6.24
1038.8,28.6,5.87,51.3,62.4,19.5,5.24
553.6,36.5,7.23,41.3,19.9,51.4,4.76
926.0,22.5,7.45,57.5,111.9,60.4,5.81
667.4,32.9,5.71,57.7,28.9,48.6,5.04
601.8,35.0,6.11,69.6,25.9,65.5,5.39
773.2,24.9,6.07,44.3,51.0,38.3,5.63
541.2,26.6,8.61,42.5,90.2,67.4,5.6
661.6,22.8,6.16,34.3,211.4,68.8,6.34
500.5,27.0,7.84,53.1,12.2,82.7,5.06
1291.2,27.8,5.49,21.8,40.4,51.2,3.86
808.8,31.3,5.71,56.6,5.5,45.2,5.34
625.1,33.5,5.95,53.8,113.7,83.2,5.94
853.5,24.3,5.82,53.8,47.5,49.9,6.08
771.9,18.2,6.29,47.1,98.2,50.6,5.64
744.8,27.9,5.93,68.0,31.1,34.4,5.54
953.5,29.5,5.84,58.1,148.8,88.0,5.78
989.4,29.2,7.43,35.9,61.2,66.0,5.32
667.4,26.4,7.48,36.2,230.0,74.0,5.36
656.0,28.6,7.26,31.8,6.6,89.3,5.61
731.2,35.6,6.92,53.3,57.8,47.5,5.13
224.5,29.9,6.57,30.0,116.4,84.2,4.4
421.2,26.1,6.1,61.3,73.3,83.7,5.43
1141.7,25.5,5.74,64.8,1.9,43.3,5.2
1211.2,27.2,6.79,31.8,287.0,70.1,5.03
737.7,36.2,5.56,42.2,28.3,88.5,4.9
944.1,27.1,5.7,45.2,22.9,44.1,5.65
877.8,27.9,7.42,58.3,53.2,71.1,5.88
1569.7,25.6,8.02,69.1,62.5,28.8,2.64
1079.9,33.5,6.81,19.7,116.3,88.3,5.49
768.0,37.8,7.39,40.2,40.0,48.5,4.96
561.1,30.3,6.3,41.0,46.4,46.5,5.12
398.4,28.4,5.43,24.0,61.3,47.8,4.5
850.9,28.2,6.99,37.7,40.1,30.6,5.71
610.9,16.1,6.96,51.4,196.8,65.6,5.6
444.4,31.7,6.56,40.8,152.4,53.4,5.3
638.4,28.7,6.31,21.8,48.6,18.7,5.0
529.6,30.1,7.27,88.1,0.0,52.6,4.15
1221.8,24.4,5.71,49.0,185.0,41.5,5.28
1020.4,26.1,5.88,46.7,10.6,60.2,5.74
798.0,25.9,5.69,28.5,22.4,90.4,5.15
